"titre_film";"note_presse"
"Les Yeux brûlés";"4,1"
"Merci Patron!";"4,1"
"La Jeune Fille Sans Mains";"4,1"
"Extérieur, nuit";"4,2"
"La Guerre des boutons";"4,2"
"Le Plein de super";"4,2"
"Plein soleil";"4,2"
"Les Naufragés de l'ile de la Tortue";"4,2"
"Au coeur du mensonge";"4,2"
"Le goût des autres";"4,2"
"Samia";"4,2"
"Cavale";"4,2"
"Sur mes lèvres";"4,2"
"Loin";"4,2"
"Trouble Every Day";"4,2"
"8 femmes";"4,2"
"Un Coupable idéal";"4,2"
"Wesh Wesh, qu'est-ce qui se passe ?";"4,2"
"Histoire d'un secret";"4,2"
"Une Pure coïncidence";"4,2"
"En attendant le bonheur";"4,2"
"Dark Water";"4,2"
"La Commune (Paris 1871)";"4,2"
"Pas sur la bouche";"4,2"
"Goodbye, Dragon Inn";"4,2"
"La Blessure";"4,2"
"Le Monde selon Bush";"4,2"
"Quand la mer monte";"4,2"
"Le passager";"4,2"
"Prendre femme";"4,2"
"Le Filmeur";"4,2"
"A travers la forêt";"4,2"
"Vol 93";"4,2"
"Belle toujours";"4,2"
"Très bien, merci";"4,2"
"Aide-toi le ciel t'aidera";"4,2"
"Elle s'appelle Sabine";"4,2"
"Khamsa";"4,2"
"Looking for Eric";"4,2"
"La Terre de la folie";"4,2"
"Lola";"4,2"
"Les Arrivants";"4,2"
"Le gamin au vélo";"4,2"
"Tomboy";"4,2"
"Minuscule - La vallée des fourmis perdues";"4,2"
"Le Passé";"4,2"
"L'inconnu du lac";"4,2"
"La Cour de Babel";"4,2"
"Timbuktu";"4,2"
"Mille Soleils";"4,2"
"Le Bouton de nacre";"4,2"
"Le Fleuve";"4,3"
"Le Fleuve";"4,3"
"Je t'aime, je t'aime";"4,3"
"Le Joli Mai";"4,3"
"Beau travail";"4,3"
"Chronique d'un été";"4,3"
"Le Fabuleux destin d'Amélie Poulain";"4,3"
"La prophétie des grenouilles";"4,3"
"L'Anglaise et le Duc";"4,3"
"No pasaràn, album souvenir";"4,3"
"L'Autre";"4,3"
"Un fils";"4,3"
"Retour à Kotelnitch";"4,3"
"Le Journal d'un suicidé";"4,3"
"Azur et Asmar";"4,3"
"L'Enfant";"4,3"
"Je ne suis pas là pour être aimé";"4,3"
"Le Soleil";"4,3"
"U";"4,3"
"Le Caïman";"4,3"
"Les Témoins";"4,3"
"Welcome";"4,3"
"Les Beaux Gosses";"4,3"
"Vincere";"4,3"
"De rouille et d'os";"4,3"
"Carlos";"4,3"
"Pater";"4,3"
"Les Adieux à la reine";"4,3"
"Holy Motors";"4,3"
"Camille Claudel, 1915";"4,3"
"Le Sommeil d'or";"4,3"
"Ernest et Célestine";"4,3"
"Tout en haut du monde";"4,3"
"Bambi";"4,3"
"Fatima";"4,3"
"Eau argentée";"4,3"
"Elle";"4,3"
"Vers l'autre rive";"4,3"
"Louise en Hiver";"4,3"
"La Tortue rouge";"4,3"
"Harry, un ami qui vous veut du bien";"4,4"
"Feux Rouges";"4,4"
"Mémoire d'un saccage - Argentine, le hold up du siècle";"4,4"
"Avanim";"4,4"
"Le Petit lieutenant";"4,4"
"Profils paysans, chapitre 2 : le quotidien";"4,4"
"Lady Chatterley";"4,4"
"Au-delà de la haine";"4,4"
"La Vie moderne";"4,4"
"Un conte de Noël";"4,4"
"Maurice Pialat, l'amour existe";"4,4"
"Quatre nuits avec Anna";"4,4"
"Tournée";"4,4"
"Irène";"4,4"
"Amour";"4,4"
"La Guerre est déclarée";"4,4"
"Les Eclats (Ma gueule, ma révolte, mon nom)";"4,4"
"Maesta, La passion du Christ";"4,4"
"Rue Cases Nègres";"4,5"
"La Cicatrice intérieure";"4,5"
"L'Armée des Ombres";"4,5"
"Les Nuits de Cabiria";"4,5"
"Les Idoles";"4,5"
"Plus qu'hier, moins que demain";"4,5"
"Les Autres";"4,5"
"Va savoir";"4,5"
"L'Evangile selon Saint Matthieu";"4,5"
"Les Triplettes de Belleville";"4,5"
"Le Fils";"4,5"
"Cybele ou Les Dimanches de Ville d'Avray";"4,5"
"Vietnam Paradiso";"4,5"
"S21, la machine de mort Khmere Rouge";"4,5"
"10e chambre  Instants d'audience";"4,5"
"La Peau trouée";"4,5"
"De battre mon coeur s'est arrêté";"4,5"
"Entre les murs";"4,5"
"Le Cauchemar de Darwin";"4,5"
"Les amants réguliers";"4,5"
"Le Silence de Lorna";"4,5"
"Lettre à la prison";"4,5"
"Mystères de Lisbonne";"4,5"
"Duch, le maître des forges de l'enfer";"4,5"
"Biette";"4,5"
"Avoir 20 ans dans les Aurès";"4,6"
"Salo ou les 120 journées de Sodome";"4,6"
"La Baie des Anges";"4,6"
"Flammes";"4,6"
"Les vacances de Monsieur Hulot";"4,6"
"La Haine";"4,6"
"In the Mood for Love";"4,6"
"L'Emploi du temps";"4,6"
"Sobibor, 14 octobre 1943, 16 heures";"4,6"
"Être et avoir";"4,6"
"Intervention divine";"4,6"
"Clean";"4,6"
"Une Visite au Louvre";"4,6"
"À tout de suite";"4,6"
"Un prophète";"4,6"
"Le Papier ne peut pas envelopper la braise";"4,6"
"Les Plages d'Agnès";"4,6"
"The Ghost Writer";"4,6"
"Tabou";"4,6"
"La Vie d'Adèle - Chapitres 1 et 2";"4,6"
"Ces messieurs dames";"4,7"
"L'important c'est d'aimer";"4,7"
"L'esquive";"4,7"
"La Graine et le mulet";"4,7"
"Masculin Féminin";"4,8"
"Playtime";"4,8"
"Jour de fête";"4,8"
"L'Homme sans passé";"4,8"
"Rois & reine";"4,8"
"Un été violent";"4,8"
"Le Deuxième souffle";"4,8"
"À bout de souffle";"5,0"
"Adieu Philippine";"5,0"
"La grande illusion";"5,0"
"La règle du jeu";"5,0"
"L'Avventura";"5,0"
"La guerre du feu";"5,0"
"Orphée";"5,0"
"Le Bonheur";"5,0"
"Maine Océan";"5,0"
"Despair";"5,0"
"Le Guépard";"5,0"
"Boudu sauvé des eaux";"5,0"
"Peau d'âne";"5,0"
"L'Incompris";"5,0"
"Main basse sur la ville";"5,0"
"Le Roman de Renart";"5,0"
"Hier, aujourd'hui et demain";"5,0"
"Dossier secret (Mr Arkadin)";"5,0"
"Journal intime";"5,0"
"L'Oeuvre au noir";"5,0"
"In girum imus nocte et consumimur igni";"5,0"
"Moments choisis des histoire(s) du cinéma";"5,0"
"Deux ans après";"5,0"
"Lola";"5,0"
"Les Misérables - Liberté liberté chérie";"5,0"
"Les Misérables - Les Thénardier";"5,0"
"Les Misérables - Une tempête sous un crâne";"5,0"
"Intégrale Pierre Etaix";"5,0"
"Jaurès";"5,0"
